postcode,postcode_status,LSOA_code,LSOA_name,index_of_multiple_deprivation_rank int,index_of_multiple_deprivation_decile
GL50 1SP,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1SQ,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SR,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SS,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1ST,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SU,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SW,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SX,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SY,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1SZ,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1TA,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TB,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TD,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1TE,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1TF,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1TG,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1TH,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TJ,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TL,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TN,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TP,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TQ,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1TR,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TS,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TT,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TW,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TX,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TY,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1TZ,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1UA,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1UB,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1UD,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1UE,Live,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1UF,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1UG,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1UH,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1UL,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1UN,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1UP,Terminated,E01022137,Cheltenham 011C E01022137,26715,9
GL50 1UQ,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1UR,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1US,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1UT,Terminated,E01022137,Cheltenham 011C E01022137,26715,9
GL50 1UU,Terminated,E01022137,Cheltenham 011C E01022137,26715,9
GL50 1UW,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1UX,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1UY,Terminated,E01022137,Cheltenham 011C E01022137,26715,9
GL50 1UZ,Live,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1WA,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1WB,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1WG,Live,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1WH,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1WJ,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1WY,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1XA,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1XB,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1XD,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1XE,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1XF,Terminated,E01022127,Cheltenham 009G E01022127,18890,6
GL50 1XG,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1XH,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1XJ,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1XL,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1XN,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1XP,Live,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1XQ,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1XR,Terminated,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1XS,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1XT,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1XU,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1XW,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1XX,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1XY,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1XZ,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YA,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YB,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YD,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YE,Live,E01022116,Cheltenham 009A E01022116,25962,8
GL50 1YF,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YG,Live,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1YH,Live,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1YJ,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YL,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YN,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YP,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1YQ,Live,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1YS,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YT,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1YU,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YW,Terminated,E01022117,Cheltenham 009B E01022117,18120,6
GL50 1YX,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1YY,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1YZ,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZA,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1ZB,Live,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZD,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZE,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZF,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZG,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1ZH,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZJ,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1ZL,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZN,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1ZP,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZQ,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZR,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1ZS,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1ZT,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZU,Terminated,E01022152,Cheltenham 004C E01022152,2413,1
GL50 1ZW,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 1ZX,Terminated,E01022126,Cheltenham 009F E01022126,17934,6
GL50 2AA,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2AB,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2AD,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2AE,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2AF,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2AG,Live,E01022117,Cheltenham 009B E01022117,18120,6
GL50 2AH,Terminated,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AJ,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AL,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AN,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AP,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AQ,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AR,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AS,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AT,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AU,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AW,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AX,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AY,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2AZ,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2BA,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2BB,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2BD,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2BE,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2BG,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2BH,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2BJ,Live,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2BL,Terminated,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2BN,Terminated,E01022138,Cheltenham 011D E01022138,32357,10
GL50 2BP,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2BQ,Live,E01022137,Cheltenham 011C E01022137,26715,9
GL50 2BS,Live,E01022138,Cheltenham 011D E01022138,32357,10
